date,basin,daymet_swe,gldas_swe,snodas_swe,uaz_swe
1980-01-01,V578,44.8453178405762,,,
1980-01-02,V578,44.8232345581055,,,
1980-01-03,V578,44.3326683044434,,,
1980-01-04,V578,44.6871376037598,,,
1980-01-05,V578,43.5328521728516,,,
1980-01-06,V578,43.4607391357422,,,
1980-01-07,V578,43.4592475891113,,,
1980-01-08,V578,49.278995513916,,,
1980-01-09,V578,62.5787506103516,,,
1980-01-10,V578,78.5041198730469,,,
1980-01-11,V578,113.012046813965,,,
1980-01-12,V578,132.279144287109,,,
1980-01-13,V578,139.412673950195,,,
1980-01-14,V578,136.528396606445,,,
1980-01-15,V578,138.3466796875,,,
1980-01-16,V578,136.637145996094,,,
1980-01-17,V578,134.696502685547,,,
1980-01-18,V578,134.696197509766,,,
1980-01-19,V578,134.696197509766,,,
1980-01-20,V578,134.69352722168,,,
1980-01-21,V578,134.692123413086,,,
1980-01-22,V578,134.268692016602,,,
1980-01-23,V578,133.980377197266,,,
1980-01-24,V578,133.928756713867,,,
1980-01-25,V578,133.926956176758,,,
1980-01-26,V578,133.926956176758,,,
1980-01-27,V578,133.794982910156,,,
1980-01-28,V578,133.794982910156,,,
1980-01-29,V578,133.794982910156,,,
1980-01-30,V578,133.794982910156,,,
1980-01-31,V578,133.534683227539,,,
1980-02-01,V578,131.639526367188,,,
1980-02-02,V578,132.133407592773,,,
1980-02-03,V578,129.189468383789,,,
1980-02-04,V578,128.88493347168,,,
1980-02-05,V578,131.360763549805,,,
1980-02-06,V578,131.407531738281,,,
1980-02-07,V578,131.406311035156,,,
1980-02-08,V578,131.40625,,,
1980-02-09,V578,131.403991699219,,,
1980-02-10,V578,131.347534179688,,,
1980-02-11,V578,131.347534179688,,,
1980-02-12,V578,131.335189819336,,,
1980-02-13,V578,131.332565307617,,,
1980-02-14,V578,132.236526489258,,,
1980-02-15,V578,131.254379272461,,,
1980-02-16,V578,130.632751464844,,,
1980-02-17,V578,127.827033996582,,,
1980-02-18,V578,125.195243835449,,,
1980-02-19,V578,123.819541931152,,,
1980-02-20,V578,123.027137756348,,,
1980-02-21,V578,121.466262817383,,,
1980-02-22,V578,120.423141479492,,,
1980-02-23,V578,120.420738220215,,,
1980-02-24,V578,117.510070800781,,,
1980-02-25,V578,114.961227416992,,,
1980-02-26,V578,111.951812744141,,,
1980-02-27,V578,109.481491088867,,,
1980-02-28,V578,108.718544006348,,,
1980-02-29,V578,108.642150878906,,,
1980-03-01,V578,108.531074523926,,,
1980-03-02,V578,109.121147155762,,,
1980-03-03,V578,109.857887268066,,,
1980-03-04,V578,112.617492675781,,,
1980-03-05,V578,112.797431945801,,,
1980-03-06,V578,112.802352905273,,,
1980-03-07,V578,112.802001953125,,,
1980-03-08,V578,112.788749694824,,,
1980-03-09,V578,112.78653717041,,,
1980-03-10,V578,112.925567626953,,,
1980-03-11,V578,113.157989501953,,,
1980-03-12,V578,120.752876281738,,,
1980-03-13,V578,118.667144775391,,,
1980-03-14,V578,117.862586975098,,,
1980-03-15,V578,117.376113891602,,,
1980-03-16,V578,117.376113891602,,,
1980-03-17,V578,120.721458435059,,,
1980-03-18,V578,120.199691772461,,,
1980-03-19,V578,120.393569946289,,,
1980-03-20,V578,123.040596008301,,,
1980-03-21,V578,122.590400695801,,,
1980-03-22,V578,122.582153320312,,,
1980-03-23,V578,122.581283569336,,,
1980-03-24,V578,126.303970336914,,,
1980-03-25,V578,126.203048706055,,,
1980-03-26,V578,126.535575866699,,,
1980-03-27,V578,126.431846618652,,,
1980-03-28,V578,126.431846618652,,,
1980-03-29,V578,126.404403686523,,,
