date,basin,daymet_swe,gldas_swe,snodas_swe,uaz_swe
1980-01-01,V624,390.740570068359,,,
1980-01-02,V624,396.747894287109,,,
1980-01-03,V624,410.798980712891,,,
1980-01-04,V624,410.798980712891,,,
1980-01-05,V624,410.798980712891,,,
1980-01-06,V624,410.798980712891,,,
1980-01-07,V624,410.798980712891,,,
1980-01-08,V624,428.176391601562,,,
1980-01-09,V624,451.837188720703,,,
1980-01-10,V624,466.943084716797,,,
1980-01-11,V624,520.784545898438,,,
1980-01-12,V624,558.799255371094,,,
1980-01-13,V624,566.220825195312,,,
1980-01-14,V624,578.568237304688,,,
1980-01-15,V624,586.66650390625,,,
1980-01-16,V624,594.789123535156,,,
1980-01-17,V624,594.682800292969,,,
1980-01-18,V624,594.682800292969,,,
1980-01-19,V624,594.682800292969,,,
1980-01-20,V624,594.682800292969,,,
1980-01-21,V624,594.682800292969,,,
1980-01-22,V624,594.682800292969,,,
1980-01-23,V624,594.682800292969,,,
1980-01-24,V624,594.69189453125,,,
1980-01-25,V624,594.966247558594,,,
1980-01-26,V624,594.966247558594,,,
1980-01-27,V624,594.966247558594,,,
1980-01-28,V624,594.966247558594,,,
1980-01-29,V624,594.966247558594,,,
1980-01-30,V624,594.966247558594,,,
1980-01-31,V624,613.758117675781,,,
1980-02-01,V624,629.263854980469,,,
1980-02-02,V624,646.662536621094,,,
1980-02-03,V624,662.579528808594,,,
1980-02-04,V624,662.529479980469,,,
1980-02-05,V624,672.267028808594,,,
1980-02-06,V624,675.864807128906,,,
1980-02-07,V624,675.838134765625,,,
1980-02-08,V624,675.8115234375,,,
1980-02-09,V624,675.717834472656,,,
1980-02-10,V624,675.688293457031,,,
1980-02-11,V624,675.67138671875,,,
1980-02-12,V624,675.669860839844,,,
1980-02-13,V624,677.292846679688,,,
1980-02-14,V624,678.870727539062,,,
1980-02-15,V624,683.824035644531,,,
1980-02-16,V624,687.728088378906,,,
1980-02-17,V624,694.925170898438,,,
1980-02-18,V624,699.636474609375,,,
1980-02-19,V624,702.074096679688,,,
1980-02-20,V624,700.6083984375,,,
1980-02-21,V624,700.603454589844,,,
1980-02-22,V624,700.603454589844,,,
1980-02-23,V624,700.603454589844,,,
1980-02-24,V624,700.59912109375,,,
1980-02-25,V624,712.037170410156,,,
1980-02-26,V624,721.2138671875,,,
1980-02-27,V624,719.48095703125,,,
1980-02-28,V624,717.344055175781,,,
1980-02-29,V624,717.081298828125,,,
1980-03-01,V624,716.9384765625,,,
1980-03-02,V624,718.605895996094,,,
1980-03-03,V624,717.031982421875,,,
1980-03-04,V624,716.730895996094,,,
1980-03-05,V624,716.647583007812,,,
1980-03-06,V624,716.647583007812,,,
1980-03-07,V624,716.833679199219,,,
1980-03-08,V624,716.7041015625,,,
1980-03-09,V624,714.142883300781,,,
1980-03-10,V624,712.117370605469,,,
1980-03-11,V624,712.622314453125,,,
1980-03-12,V624,731.448791503906,,,
1980-03-13,V624,735.945434570312,,,
1980-03-14,V624,737.951049804688,,,
1980-03-15,V624,738.944946289062,,,
1980-03-16,V624,749.986328125,,,
1980-03-17,V624,754.236511230469,,,
1980-03-18,V624,754.758117675781,,,
1980-03-19,V624,753.036315917969,,,
1980-03-20,V624,752.501098632812,,,
1980-03-21,V624,751.669616699219,,,
1980-03-22,V624,751.733642578125,,,
1980-03-23,V624,750.952331542969,,,
1980-03-24,V624,750.928771972656,,,
1980-03-25,V624,753.751586914062,,,
1980-03-26,V624,753.35888671875,,,
1980-03-27,V624,752.727661132812,,,
1980-03-28,V624,759.760314941406,,,
1980-03-29,V624,759.220458984375,,,
1980-03-30,V624,759.116394042969,,,
1980-03-31,V624,758.913391113281,,,
1980-04-01,V624,758.118286132812,,,
1980-04-02,V624,758.043518066406,,,
1980-04-03,V624,757.7607421875,,,
1980-04-04,V624,759.731384277344,,,
1980-04-05,V624,759.115356445312,,,
1980-04-06,V624,765.997314453125,,,
1980-04-07,V624,768.586303710938,,,
1980-04-08,V624,772.270141601562,,,
1980-04-09,V624,771.954284667969,,,
1980-04-10,V624,770.965881347656,,,
1980-04-11,V624,770.863220214844,,,
1980-04-12,V624,770.650756835938,,,
1980-04-13,V624,770.10205078125,,,
1980-04-14,V624,773.640502929688,,,
1980-04-15,V624,772.308532714844,,,
1980-04-16,V624,771.886779785156,,,
1980-04-17,V624,770.528564453125,,,
1980-04-18,V624,770.103271484375,,,
1980-04-19,V624,767.037658691406,,,
1980-04-20,V624,764.917419433594,,,
1980-04-21,V624,762.931274414062,,,
1980-04-22,V624,761.761901855469,,,
1980-04-23,V624,760.765258789062,,,
1980-04-24,V624,758.969970703125,,,
1980-04-25,V624,758.169982910156,,,
1980-04-26,V624,756.94189453125,,,
1980-04-27,V624,756.263244628906,,,
1980-04-28,V624,754.585205078125,,,
1980-04-29,V624,753.10400390625,,,
1980-04-30,V624,752.490234375,,,
1980-05-01,V624,751.005187988281,,,
1980-05-02,V624,748.896423339844,,,
1980-05-03,V624,748.469055175781,,,
1980-05-04,V624,747.399169921875,,,
1980-05-05,V624,744.953125,,,
1980-05-06,V624,741.763793945312,,,
1980-05-07,V624,740.781799316406,,,
1980-05-08,V624,738.731506347656,,,
1980-05-09,V624,736.364135742188,,,
1980-05-10,V624,734.157165527344,,,
1980-05-11,V624,734.463684082031,,,
1980-05-12,V624,731.609313964844,,,
1980-05-13,V624,730.315490722656,,,
1980-05-14,V624,727.781188964844,,,
1980-05-15,V624,725.990417480469,,,
1980-05-16,V624,724.196594238281,,,
1980-05-17,V624,721.526428222656,,,
1980-05-18,V624,720.03173828125,,,
1980-05-19,V624,718.369506835938,,,
1980-05-20,V624,715.587463378906,,,
1980-05-21,V624,711.788757324219,,,
1980-05-22,V624,709.810974121094,,,
1980-05-23,V624,709.080078125,,,
1980-05-24,V624,707.339782714844,,,
1980-05-25,V624,704.801208496094,,,
1980-05-26,V624,702.238830566406,,,
1980-05-27,V624,699.628784179688,,,
1980-05-28,V624,697.355895996094,,,
1980-05-29,V624,695.771179199219,,,
1980-05-30,V624,694.085388183594,,,
1980-05-31,V624,692.474365234375,,,
1980-06-01,V624,689.35546875,,,
1980-06-02,V624,687.602111816406,,,
1980-06-03,V624,685.839050292969,,,
1980-06-04,V624,683.581359863281,,,
1980-06-05,V624,681.17822265625,,,
1980-06-06,V624,678.738342285156,,,
1980-06-07,V624,676.6962890625,,,
1980-06-08,V624,673.981811523438,,,
1980-06-09,V624,672.104614257812,,,
1980-06-10,V624,670.716613769531,,,
1980-06-11,V624,668.791076660156,,,
1980-06-12,V624,666.459411621094,,,
1980-06-13,V624,662.162841796875,,,
1980-06-14,V624,658.849792480469,,,
1980-06-15,V624,656.235778808594,,,
1980-06-16,V624,652.307373046875,,,
1980-06-17,V624,648.977172851562,,,
1980-06-18,V624,646.881958007812,,,
1980-06-19,V624,645.440979003906,,,
1980-06-20,V624,642.054443359375,,,
1980-06-21,V624,637.807556152344,,,
1980-06-22,V624,634.549011230469,,,
1980-06-23,V624,634.023559570312,,,
1980-06-24,V624,635.270812988281,,,
1980-06-25,V624,631.309509277344,,,
1980-06-26,V624,630.403625488281,,,
1980-06-27,V624,626.141418457031,,,
1980-06-28,V624,625.131042480469,,,
1980-06-29,V624,622.540222167969,,,
1980-06-30,V624,621.56201171875,,,
1980-07-01,V624,619.492370605469,,,
1980-07-02,V624,616.138427734375,,,
1980-07-03,V624,612.180480957031,,,
1980-07-04,V624,609.777221679688,,,
1980-07-05,V624,608.84619140625,,,
1980-07-06,V624,607.968505859375,,,
1980-07-07,V624,605.629577636719,,,
1980-07-08,V624,602.504821777344,,,
1980-07-09,V624,598.230407714844,,,
1980-07-10,V624,593.750366210938,,,
1980-07-11,V624,589.778991699219,,,
1980-07-12,V624,586.435546875,,,
1980-07-13,V624,584.644348144531,,,
1980-07-14,V624,579.997802734375,,,
1980-07-15,V624,575.488708496094,,,
1980-07-16,V624,570.712036132812,,,
1980-07-17,V624,568.971496582031,,,
1980-07-18,V624,566.703735351562,,,
1980-07-19,V624,565.986389160156,,,
1980-07-20,V624,563.067443847656,,,
1980-07-21,V624,560.016418457031,,,
