date,basin,daymet_swe,gldas_swe,snodas_swe,uaz_swe
1980-01-01,V656,0.0,,,
1980-01-02,V656,0.0,,,
1980-01-03,V656,0.0,,,
1980-01-04,V656,0.0,,,
1980-01-05,V656,0.228271961212158,,,
1980-01-06,V656,0.228271961212158,,,
1980-01-07,V656,19.8713130950928,,,
1980-01-08,V656,19.1615467071533,,,
1980-01-09,V656,17.4404430389404,,,
1980-01-10,V656,24.3909301757812,,,
1980-01-11,V656,58.8255577087402,,,
1980-01-12,V656,56.7641983032227,,,
1980-01-13,V656,54.4343795776367,,,
1980-01-14,V656,51.4480819702148,,,
1980-01-15,V656,52.1641807556152,,,
1980-01-16,V656,49.7316551208496,,,
1980-01-17,V656,48.3650245666504,,,
1980-01-18,V656,48.3641738891602,,,
1980-01-19,V656,48.3641738891602,,,
1980-01-20,V656,48.3640022277832,,,
1980-01-21,V656,47.2383460998535,,,
1980-01-22,V656,46.486988067627,,,
1980-01-23,V656,45.5313835144043,,,
1980-01-24,V656,44.0985336303711,,,
1980-01-25,V656,43.4949417114258,,,
1980-01-26,V656,43.4949417114258,,,
1980-01-27,V656,43.4949417114258,,,
1980-01-28,V656,43.4949417114258,,,
1980-01-29,V656,43.4949417114258,,,
1980-01-30,V656,43.4949417114258,,,
1980-01-31,V656,54.9915390014648,,,
1980-02-01,V656,53.4774360656738,,,
1980-02-02,V656,49.7147941589355,,,
1980-02-03,V656,46.5867118835449,,,
1980-02-04,V656,45.0200996398926,,,
1980-02-05,V656,42.7656593322754,,,
1980-02-06,V656,40.4483222961426,,,
1980-02-07,V656,39.2113342285156,,,
1980-02-08,V656,38.0062522888184,,,
1980-02-09,V656,37.2366371154785,,,
1980-02-10,V656,36.1059150695801,,,
1980-02-11,V656,35.3513336181641,,,
1980-02-12,V656,35.2981338500977,,,
1980-02-13,V656,34.370189666748,,,
1980-02-14,V656,34.455192565918,,,
1980-02-15,V656,34.237117767334,,,
1980-02-16,V656,33.7405052185059,,,
1980-02-17,V656,32.7568283081055,,,
1980-02-18,V656,29.8556213378906,,,
1980-02-19,V656,27.2488899230957,,,
1980-02-20,V656,25.3184833526611,,,
1980-02-21,V656,24.4008197784424,,,
1980-02-22,V656,22.9445533752441,,,
1980-02-23,V656,21.5359935760498,,,
1980-02-24,V656,19.3284740447998,,,
1980-02-25,V656,16.9503631591797,,,
1980-02-26,V656,14.16379737854,,,
1980-02-27,V656,11.7818155288696,,,
1980-02-28,V656,10.0103349685669,,,
1980-02-29,V656,9.35301303863525,,,
1980-03-01,V656,8.23379325866699,,,
1980-03-02,V656,7.06698703765869,,,
1980-03-03,V656,6.14885234832764,,,
1980-03-04,V656,5.16193914413452,,,
1980-03-05,V656,4.46502304077148,,,
1980-03-06,V656,4.22938632965088,,,
1980-03-07,V656,3.81471800804138,,,
1980-03-08,V656,3.30544281005859,,,
1980-03-09,V656,3.0346474647522,,,
1980-03-10,V656,2.72834634780884,,,
1980-03-11,V656,2.55326986312866,,,
1980-03-12,V656,2.48026967048645,,,
1980-03-13,V656,2.31107425689697,,,
1980-03-14,V656,2.24493932723999,,,
1980-03-15,V656,3.65994095802307,,,
1980-03-16,V656,5.25576639175415,,,
1980-03-17,V656,4.90064096450806,,,
1980-03-18,V656,4.65126991271973,,,
1980-03-19,V656,4.32862567901611,,,
1980-03-20,V656,4.01268339157104,,,
1980-03-21,V656,3.94063329696655,,,
1980-03-22,V656,3.69579768180847,,,
1980-03-23,V656,3.99106645584106,,,
1980-03-24,V656,3.99087882041931,,,
1980-03-25,V656,3.89052772521973,,,
1980-03-26,V656,3.64401936531067,,,
1980-03-27,V656,3.61004137992859,,,
1980-03-28,V656,3.61004137992859,,,
1980-03-29,V656,3.40459012985229,,,
1980-03-30,V656,3.50869989395142,,,
1980-03-31,V656,4.33926725387573,,,
1980-04-01,V656,4.49088907241821,,,
1980-04-02,V656,4.49080371856689,,,
1980-04-03,V656,4.58754873275757,,,
1980-04-04,V656,4.07574367523193,,,
1980-04-05,V656,3.59019064903259,,,
1980-04-06,V656,3.49239420890808,,,
1980-04-07,V656,3.67354273796082,,,
1980-04-08,V656,3.35678791999817,,,
1980-04-09,V656,3.1257631778717,,,
1980-04-10,V656,2.95540952682495,,,
1980-04-11,V656,2.82290577888489,,,
1980-04-12,V656,2.45936155319214,,,
1980-04-13,V656,2.21462941169739,,,
1980-04-14,V656,1.94723665714264,,,
1980-04-15,V656,1.77461063861847,,,
1980-04-16,V656,1.60665512084961,,,
1980-04-17,V656,1.385626912117,,,
1980-04-18,V656,1.19308733940125,,,
1980-04-19,V656,0.874405920505524,,,
1980-04-20,V656,0.698249936103821,,,
1980-04-21,V656,0.598361670970917,,,
1980-04-22,V656,0.501527428627014,,,
1980-04-23,V656,0.410781741142273,,,
1980-04-24,V656,0.354201465845108,,,
1980-04-25,V656,0.325996965169907,,,
1980-04-26,V656,0.275440663099289,,,
1980-04-27,V656,0.213750526309013,,,
1980-04-28,V656,0.168249011039734,,,
1980-04-29,V656,0.157180234789848,,,
1980-04-30,V656,0.14531572163105,,,
1980-05-01,V656,0.113990068435669,,,
1980-05-02,V656,0.074640154838562,,,
1980-05-03,V656,0.0634114965796471,,,
1980-05-04,V656,0.0429383404552937,,,
1980-05-05,V656,0.0318737328052521,,,
1980-05-06,V656,0.0207557212561369,,,
1980-05-07,V656,0.017543151974678,,,
1980-05-08,V656,0.0079369377344846,,,
1980-05-09,V656,0.0007558988290838,,,
1980-05-10,V656,0.0,,,
1980-05-11,V656,0.0,,,
1980-05-12,V656,0.0,,,
1980-05-13,V656,0.0,,,
1980-05-14,V656,0.0,,,
1980-05-15,V656,0.0,,,
1980-05-16,V656,0.0,,,
1980-05-17,V656,0.0,,,
1980-05-18,V656,0.0,,,
1980-05-19,V656,0.0,,,
1980-05-20,V656,0.0,,,
1980-05-21,V656,0.0,,,
1980-05-22,V656,0.0,,,
1980-05-23,V656,0.0,,,
1980-05-24,V656,0.0,,,
1980-05-25,V656,0.0,,,
1980-05-26,V656,0.0,,,
1980-05-27,V656,0.0,,,
1980-05-28,V656,0.0,,,
1980-05-29,V656,0.0,,,
1980-05-30,V656,0.0,,,
1980-05-31,V656,0.0,,,
1980-06-01,V656,0.0,,,
1980-06-02,V656,0.0,,,
1980-06-03,V656,0.0,,,
1980-06-04,V656,0.0,,,
1980-06-05,V656,0.0,,,
1980-06-06,V656,0.0,,,
1980-06-07,V656,0.0,,,
1980-06-08,V656,0.0,,,
1980-06-09,V656,0.0,,,
1980-06-10,V656,0.0,,,
1980-06-11,V656,0.0,,,
1980-06-12,V656,0.0,,,
1980-06-13,V656,0.0,,,
1980-06-14,V656,0.0,,,
1980-06-15,V656,0.0,,,
1980-06-16,V656,0.0,,,
1980-06-17,V656,0.0,,,
1980-06-18,V656,0.0,,,
1980-06-19,V656,0.0,,,
1980-06-20,V656,0.0,,,
1980-06-21,V656,0.0,,,
1980-06-22,V656,0.0,,,
1980-06-23,V656,0.0,,,
1980-06-24,V656,0.0,,,
1980-06-25,V656,0.0,,,
1980-06-26,V656,0.0,,,
1980-06-27,V656,0.0,,,
1980-06-28,V656,0.0,,,
1980-06-29,V656,0.0,,,
1980-06-30,V656,0.0,,,
1980-07-01,V656,0.0,,,
1980-07-02,V656,0.0,,,
1980-07-03,V656,0.0,,,
1980-07-04,V656,0.0,,,
1980-07-05,V656,0.0,,,
1980-07-06,V656,0.0,,,
1980-07-07,V656,0.0,,,
1980-07-08,V656,0.0,,,
1980-07-09,V656,0.0,,,
1980-07-10,V656,0.0,,,
1980-07-11,V656,0.0,,,
1980-07-12,V656,0.0,,,
1980-07-13,V656,0.0,,,
1980-07-14,V656,0.0,,,
1980-07-15,V656,0.0,,,
1980-07-16,V656,0.0,,,
1980-07-17,V656,0.0,,,
1980-07-18,V656,0.0,,,
1980-07-19,V656,0.0,,,
1980-07-20,V656,0.0,,,
1980-07-21,V656,0.0,,,
1980-07-22,V656,0.0,,,
1980-07-23,V656,0.0,,,
1980-07-24,V656,0.0,,,
1980-07-25,V656,0.0,,,
1980-07-26,V656,0.0,,,
1980-07-27,V656,0.0,,,
1980-07-28,V656,0.0,,,
1980-07-29,V656,0.0,,,
1980-07-30,V656,0.0,,,
1980-07-31,V656,0.0,,,
1980-08-01,V656,0.0,,,
1980-08-02,V656,0.0,,,
1980-08-03,V656,0.0,,,
1980-08-04,V656,0.0,,,
1980-08-05,V656,0.0,,,
1980-08-06,V656,0.0,,,
1980-08-07,V656,0.0,,,
1980-08-08,V656,0.0,,,
1980-08-09,V656,0.0,,,
1980-08-10,V656,0.0,,,
1980-08-11,V656,0.0,,,
1980-08-12,V656,0.0,,,
1980-08-13,V656,0.0,,,
1980-08-14,V656,0.0,,,
1980-08-15,V656,0.0,,,
1980-08-16,V656,0.0,,,
1980-08-17,V656,0.0,,,
1980-08-18,V656,0.0,,,
1980-08-19,V656,0.0,,,
1980-08-20,V656,0.0,,,
1980-08-21,V656,0.0,,,
1980-08-22,V656,0.0,,,
1980-08-23,V656,0.0,,,
1980-08-24,V656,0.0,,,
1980-08-25,V656,0.0,,,
1980-08-26,V656,0.0,,,
1980-08-27,V656,0.0,,,
1980-08-28,V656,0.0,,,
1980-08-29,V656,0.0,,,
1980-08-30,V656,0.0,,,
1980-08-31,V656,0.0,,,
1980-09-01,V656,0.0,,,
1980-09-02,V656,0.0,,,
1980-09-03,V656,0.0,,,
1980-09-04,V656,0.0,,,
1980-09-05,V656,0.0,,,
1980-09-06,V656,0.0,,,
1980-09-07,V656,0.0,,,
